ID,type,Country,Stage name,Length,Surface,Ch,OR,,Average Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,USA,Prospect Ridge II,7.9,gravel,,,,3.56,,4,2,4,4,4,4,3,5,4,,,2,,,3,3,3,4,4,,,3,4,4,4,3,4,4,,2,3,,5,0,4,4,5,4,4,,,,,,,,,4,,,,,
66,,USA,Diamond Creek II,6.8,gravel,,,,3.00,,2,2,3,4,2,3,3,3,1,,,2,5,,3,3,4,4,2,,,,3,2,4,3,4,4,3,2,,,2,0,2,4,5,4,3,,,,,,,,3,5,,,,,
71,,United Kingdom,Rally School Stage,2.2,gravel,,,,3.95,,5,5,4,5,3,4,5,4,5,,5,4,5,,5,3,4,5,4,4,3,,,4,3,3,3,5,4,4,3,4,5,2,3,3,3,4,,,,,,,,3,4,4,,,,,
101,,Finland,Autiovaara II,6.1,snow,,,,2.84,,2,,3,3,4,5,3,2,,,,2,,,1,2,,,,,3,,3,1,4,4,1,5,,2,,,3,3,3,3,3,4,,,,,,,,,,2,,,,,
102,,Finland,Sikakama II,10.2,snow,,,,3.67,,4,,4,4,,5,5,4,,,,2,,,4,,,,,,3,,,2,5,4,2,4,,2,,,3,4,3,4,,4,,,,,,,,,,5,,,,,
103,,United Kingdom,Falstone II,6.6,gravel,,,,3.14,,2,,2,4,3,4,3,3,3,,,3,2,,3,,,4,2,,4,,3,4,5,3,3,3,,2,,3,3,4,3,3,,4,,,,,,,,,,3,,,,,
104,,United Kingdom,Shepherds Shield II,4.8,gravel,,,,3.80,,4,,4,5,4,4,4,4,4,,,3,5,,4,3,4,5,3,,4,,3,4,5,3,2,5,,3,,4,4,4,3,3,,3,,,,,,,,,,4,,,,,
105,,Australia,Greenhills II,6,gravel,,,,3.23,,3,,3,3,3,3,3,3,,,,2,2,,2,,3,4,4,,4,,3,2,5,3,5,3,,3,,,5,3,3,3,,4,,,,,,,,,,,,,,,
106,,Australia,Mineshaft II,8.2,gravel,,,,3.36,,3,,3,4,3,4,3,2,,,,3,2,,3,,4,3,3,,4,4,4,3,5,3,4,3,,3,,,4,3,3,4,3,4,,,,,,,,,,,,,,,
107,,France,Joux Plane II,11.1,tarmac,,,,3.73,,3,,4,3,4,4,3,4,,,,4,5,4,4,,4,4,2,,4,,,3,5,4,5,5,5,3,,,3,1,4,4,4,3,,,,,3,,,,,4,,,,,
108,,France,Bisanne II,5.6,tarmac,,,,3.36,,2,,3,2,2,4,3,4,,,,3,,3,4,,4,3,2,,4,,4,4,5,3,4,3,,3,,,5,2,3,3,5,3,,,,,4,,,,,,,,,,
109,,Japan,Sipirkakim II,8.7,gravel,,,,3.43,,3,,3,2,4,3,4,3,,,,4,3,,2,5,5,4,2,,3,,3,3,4,3,3,5,,2,,,3,3,4,5,,4,,,,,,,,,,4,,,,,
110,,Japan,Pirka Menoko II,6.7,gravel,,,,2.83,,2,,1,2,,4,3,3,,,,2,5,,2,3,,1,2,,3,,4,3,3,3,4,2,,2,,,3,,4,3,,4,,,,,,,,,,,,,,,
111,,USA,Fraizer Wells II,5.1,gravel,,,,2.72,,3,,3,3,2,3,3,2,,,,2,5,,3,,3,3,2,,,,,2,4,3,2,3,,2,,,4,0,2,3,,3,,,,,,,,,,3,,,,,
112,,USA,Hualapai Nation II,8.6,gravel,,,,2.46,,2,,1,1,,2,3,4,,,,0,5,,1,2,2,4,2,,,,,1,3,4,3,4,,2,,,2,0,3,4,,4,,,,,,,,,,,,,,,
113,,United Kingdom,Rally School Stage II,2.2,gravel,,,,3.77,,4,,3,5,3,4,4,4,,,,4,5,5,5,3,4,5,4,,4,,,4,3,3,3,4,4,3,,4,4,3,3,3,,4,,,,,,,,3,,3,,,,,
114,,Italy,Castrezzato,8.1,tarmac,,,,2.52,,3,,2,4,2,2,2,3,2,1,3,1,,,5,4,,,1,,2,,,,2,4,1,2,,,,3,4,3,2,2,3,2,,,,,3,,,,,,,,,,
115,,Italy,SS Daniel Bonara,5.8,tarmac,,,,2.37,,3,,2,4,,2,2,3,2,1,3,1,,,5,3,,1,1,,2,,,,2,4,1,3,,,2,3,4,4,2,2,,2,,,,,,,,,,0,,,,,
116,,Czech Republic,Rally School Czech II,3.1,tarmac,,,,2.79,,2,,3,5,3,3,3,4,3,,,1,,3,4,3,4,3,2,,3,,,3,,3,3,2,,3,,3,2,1,3,3,3,2,,,,,,1,,,,,,,,,
117,,France,Courcelle Val d'Esnoms,7.9,tarmac,,,,3.16,,2,,3,3,4,3,3,3,3,,,2,,4,3,3,,3,3,,3,,,,3,3,5,2,4,4,3,3,5,3,4,3,3,3,,,,,,2,,,3,,,,,,
118,,Ukraine,Livadija,5.6,tarmac,,,,1.92,,0,,1,2,1,2,3,2,0,,,0,,1,2,3,,,,,2,,,,2,1,4,0,,,1,3,5,2,3,2,3,3,,,,,,,,,,,,,,,
119,,Sweden,Karlstad II,2,snow,,,,3.25,,4,,4,5,2,3,3,2,3,,4,2,3,3,5,3,3,,5,,3,,,4,3,3,2,5,,2,,3,2,3,3,2,4,4,,,,,4,,,,,3,,,,,
120,,Japan,Akagi 2,3.5,tarmac,,,,2.71,,1,,1,2,2,3,3,2,2,,,0,5,3,5,3,,,4,,2,,,2,3,3,3,2,,,3,3,5,3,2,2,4,3,,,,,,,,,,,,,,,
